index,hora,semaforo,direccion,cuantos,estado,placa,prob
2018-02-20,13-30-27,ROJO,directo,x1,-Infraccion,4291GXD,100
2018-02-20,14-47-43,ROJO,directo,x1,-Infraccion,4442PDN,100
2018-02-20,16-13-05,ROJO,directo,x1,-Infraccion,2274TGY,100
2018-02-12,07-54-56,ROJO,directo,x1,-Infraccion,2379USF,100
2018-02-23,08-30-03,ROJO,directo,x1,-Infraccion-PlacaDespintada,1720HCT,100
2018-02-23,08-05-38,ROJO,directo,x1,-Infraccion,2926GLN,100
2018-02-23,11-30-59,ROJO,directo,x1,-Infraccion,1783NIX,100
2018-02-23,07-18-23,ROJO,directo,x1,-Infraccion-Cortado,4090TKx,86
2018-02-23,08-20-53,ROJO,directo,x1,-Infraccion-Sticker,960IIY,100
2018-02-23,07-16-20,ROJO,directo,x1,-Infraccion,4221GTL,100
2018-02-23,07-58-31,ROJO,directo,x1,-Infraccion,3589XCF,100
2018-02-23,08-15-48,ROJO,directo,x1,-Infraccion,1826FSx,86
2018-02-23,08-32-05,ROJO,directo,x1,-Infraccion,1313AKI,100
2018-02-23,07-52-26,ROJO,directo,x1,-Infraccion,3773UCU,100
2018-02-23,17-42-02,ROJO,directo,x1,-Infraccion,2544UDN,100
2018-02-23,13-51-16,ROJO,directo,x1,-Infraccion-PlacaDespintada,836XLH,100
2018-02-23,10-46-14,ROJO,directo,x1,-Infraccion,4119KEF,100
2018-02-23,07-09-04,ROJO,directo,x1,-Infraccion,4418GLD,100
2018-02-23,10-32-00,ROJO,directo,x1,-Infraccion,3626IRS,100
2018-02-23,13-25-53,ROJO,directo,x1,-Infraccion-CasiAtropella,3608HEB,100
2018-02-15,17-27-54,ROJO,izquierdo,x1,-Infraccion,570GHI,100
2018-02-15,09-34-10,ROJO,izquierdo,x1,-Infraccion,4528HGE,100
2018-02-15,15-04-33,ROJO,izquierdo,x1,-Infraccion,3030HPU,100
2018-02-15,08-48-26,ROJO,directo,x2,-Infraccion,3114BKS,100
2018-02-15,13-02-34,ROJO,izquierdo,x1,-Infraccion,4103KTG,100
2018-02-15,13-43-14,ROJO,directo,x1,-Infraccion-PlacaDespintada,1720FPF,100
2018-02-15,17-39-04,ROJO,directo,x1,-Infraccion-Chileno,FWXF32,100
2018-02-15,12-05-38,ROJO,directo,x1,-Infraccion,3130FIF,100
2018-02-15,13-30-01,ROJO,izquierdo,x1,-Infraccion,1547HGG,100
2018-02-15,15-05-34,ROJO,izquierdo,x1,-Infraccion-Doble,519FHY-1251CXX,100
2018-02-15,16-15-42,ROJO,izquierdo,x1,-Infraccion,1402HZT,100
2018-02-15,16-14-42,ROJO,izquierdo,x1,-Infraccion,2569FFC,100
2018-02-15,14-45-13,ROJO,izquierdo,x1,-Infraccion,4213EHI,100
2018-02-15,09-23-00,ROJO,directo,x1,-Infraccion,4235GFX,100
2018-02-15,08-54-32,ROJO,directo,x2,-Infraccion-Doble,2209NAG-2996GXA,100
2018-02-18,08-59-25,ROJO,directo,x1,-Infraccion,1701UXF,100
2018-02-18,09-14-41,ROJO,izquierdo,x1,-Infraccion,4213EHI,100
2018-02-18,09-41-07,ROJO,izquierdo,x1,-Infraccion,4058BBS,100
2018-02-18,10-02-27,ROJO,izquierdo,x1,-Infraccion,2607AXG,100
2018-02-18,09-58-23,ROJO,izquierdo,x1,-Infraccion,3130FIF,100
2018-02-18,07-11-10,ROJO,izquierdo,x1,-Infraccion,4075IPR,100
2018-02-04,07-02-32,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-04,14-13-04,ROJO,directo,x1,-,3878NNA,100
2018-02-04,09-44-08,ROJO,directo,x1,-,2299SFL,100
2018-02-04,06-50-31,ROJO,directo,x1,-,xxxxx,0
2018-02-04,06-13-29,ROJO,directo,x1,-pocaluz-blur,xxxx,0
2018-02-04,06-59-02,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-04,06-19-16,ROJO,directo,x1,-pocaluz,xxxx,0
2018-02-04,09-40-39,ROJO,directo,x1,-,2534LUU,100
2018-02-04,10-49-46,ROJO,directo,x1,-,1867KIK,80
2018-02-04,07-32-33,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-04,14-23-36,ROJO,directo,x1,-casiaccidenteconelotrocarpeta,4255ACB,100
2018-02-04,16-18-05,ROJO,directo,x1,-,2198PXT,100
2018-02-04,11-30-46,ROJO,directo,x1,-muylento,xxxxx,0
2018-02-04,06-28-31,ROJO,directo,x1,-,xxxxx,0
2018-02-04,06-15-31,ROJO,directo,x1,-,xxxxx,0
2018-02-04,10-04-01,ROJO,directo,x1,-muylento,xxxxx,0
2018-02-04,06-18-23,ROJO,directo,x1,-pocaluz-blur,xxxx,0
2018-02-04,07-03-06,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-04,09-38-55,ROJO,directo,x1,-,4521XXX,100
2018-02-04,07-42-53,ROJO,directo,x1,-muylento,xxxxx,0
2018-02-04,06-15-31,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-04,06-06-10,ROJO,directo,x1,-pocaluz-casichocan,xxxx,0
2018-02-04,06-20-37,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-04,07-30-44,ROJO,directo,x1,-sinplaca,xxxxx,0
2018-02-04,06-52-25,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-04,09-29-52,ROJO,directo,x1,-muylento,xxxxx,0
2018-02-04,19-36-34,ROJO,directo,x1,-pedestrian,xxxxx,0
2018-02-04,09-20-43,ROJO,directo,x1,-muylento,xxxxx,0
2018-02-04,12-10-04,ROJO,directo,x1,-,1880RAT,100
2018-02-04,06-09-25,ROJO,directo,x1,-pocaluz,xxxxx,0
2018-02-04,07-37-39,ROJO,directo,x1,-despintado-pocaluz-blur,xxxxx,0
2018-02-04,06-16-28,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-04,10-41-36,ROJO,directo,x2,-sinplacas-sinpintar,777KBR,50
2018-02-04,14-20-38,ROJO,directo,x1,-despintado,182xxxx,36
2018-02-04,07-42-58,ROJO,directo,x1,-muyabajo,3862TTD,100
2018-02-04,07-28-31,ROJO,directo,x1,-blur,xxxxx,16
2018-02-04,06-11-22,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-04,09-16-31,ROJO,directo,x1,-,2558PEL,100
2018-02-04,06-22-45,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-04,07-13-15,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-04,06-24-28,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-04,09-44-06,ROJO,directo,x1,-,2299SFL,100
2018-02-04,08-56-57,ROJO,directo,x1,-,1096ZDA,100
2018-02-04,06-54-23,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-04,15-49-37,ROJO,directo,x1,-sinpintar,1629xxx,46
2018-02-04,17-58-43,ROJO,directo,x1,-,2260LFN,100
2018-02-04,09-29-28,ROJO,directo,x1,-,1263PXP,100
2018-02-04,13-35-56,ROJO,directo,x1,-pedestrian,xxxx,0
2018-02-04,06-25-47,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-04,20-18-02,ROJO,ruido,x0,-,,0
2018-02-04,06-38-41,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-04,06-26-55,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-04,09-36-33,ROJO,directo,x1,-muyrapido,xxxxx,0
2018-02-04,11-03-24,ROJO,directo,x1,-muylento,xxxxx,0
2018-02-04,11-30-48,ROJO,directo,x1,-,1629NHY,100
2018-02-04,07-17-38,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-04,06-07-22,ROJO,directo,x1,-pocaluz,xxxx,0
2018-02-04,06-08-13,ROJO,directo,x1,-pocaluz,xxxxx,0
2018-02-04,09-37-35,ROJO,directo,x1,-,396AZY,100
2018-02-04,09-03-21,ROJO,directo,x1,-despintado,1264GSA,84
2018-02-04,08-54-06,ROJO,directo,x1,-bicicleta,,0
2018-02-04,13-26-18,ROJO,directo,x1,-,2574REA,100
2018-02-04,06-27-47,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-04,14-27-18,ROJO,directo,x1,-,2597ZZx,86
2018-02-04,07-19-36,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-04,07-05-19,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-04,07-37-01,ROJO,directo,x1,-muylento,xxxxx,0
2018-02-04,10-50-15,ROJO,directo,x2,-,2569BNY-3614KTL,86
2018-02-04,07-35-01,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-04,07-46-06,ROJO,directo,x1,-muylento,xxxxx,0
2018-02-04,12-18-11,ROJO,directo,x1,-,3593FDB,100
2018-02-04,06-38-00,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-04,17-24-09,ROJO,directo,x1,-,28544FZK,100
2018-02-04,07-29-42,ROJO,directo,x1,-pocaluzDespintada,xxxxx,0
2018-02-04,09-29-56,ROJO,directo,x1,-muylejos,4476RXX,64
2018-02-04,06-21-32,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-04,06-54-18,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-04,17-45-28,ROJO,directo,x1,-,2354TDR,100
2018-02-04,06-52-55,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-04,11-32-27,ROJO,directo,x1,-despintado,xx25Nxxx,0
2018-02-04,06-52-01,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-04,06-26-49,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-04,06-43-44,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-04,06-45-31,ROJO,directo,x1,-,xxxxx,0
2018-02-04,07-47-16,ROJO,directo,x1,-muyabajo,4255BTD,100
2018-02-04,07-35-50,ROJO,directo,x1,-muylento,xxxxx,0
2018-02-04,06-14-28,ROJO,directo,x1,-bisicleta-pocaluz,xxxx,0
2018-02-04,10-50-12,ROJO,directo,x1,-muylento,xxxxx,0
2018-02-04,06-46-57,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-04,06-03-16,ROJO,directo,x1,-pocaluz,xxxx,0
2018-02-10,10-09-51,ROJO,directo,x1,-Infraccion-Sticker,1268ZII,100
2018-02-10,07-29-15,ROJO,izquierda,x1,-Infraccion-Sticker,1771ERS,100
2018-02-03,09-37-05,ROJO,directo,x1,-FLOTA,xxxx,0
2018-02-03,06-28-00,ROJO,left,x1,-pocaluz-blur-lento,xxxxx,0
2018-02-03,14-07-39,ROJO,directo,x1,-,2210HIL,100
2018-02-03,18-22-20,ROJO,directo,x0,-GENTE,xxxxx,0
2018-02-03,06-02-17,ROJO,directo,x12,-pocaluz-blur,xxxxx,0
2018-02-03,18-55-51,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-03,06-16-52,ROJO,directo,x1,-pocaluz-blur-lento,xxxxx,0
2018-02-03,14-29-37,ROJO,directo,x1,-muyabajo,xxxxx,0
2018-02-03,06-12-47,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-03,06-30-09,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-03,08-23-35,ROJO,directo,x1,-DESPINTADO,55xxxxx,26
2018-02-03,07-21-02,ROJO,directo,x1,-pocaluz-lento,xxxxx,0
2018-02-03,06-30-08,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-03,06-04-44,ROJO,directo,x1,-pocaluz-blur-rapido,xxxxx,0
2018-02-03,09-37-06,ROJO,directo,x1,-FLOTA,xxxxx,0
2018-02-03,06-25-07,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-03,17-27-53,ROJO,directo,x0,-genteNoice,xxxx,0
2018-02-03,13-58-02,ROJO,directo,x1,-lento,xxxxx,0
2018-02-03,07-17-48,ROJO,directo,x1,-pocaluz-blur-lento,xxxxx,0
2018-02-03,06-11-46,ROJO,directo,x1,-pocaluz-blur-directo,xxxxx,0
2018-02-03,06-11-47,ROJO,directo,x1,-pocaluz-blur-rapido,xxxxx,0
2018-02-03,17-49-12,ROJO,directo,x1,-despintado,1629xGE,86
2018-02-03,06-12-49,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-03,17-13-12,ROJO,directo,x1,-,4465GAU,100
2018-02-03,16-57-57,ROJO,directo,x2,-sucio,2171RAP,100
2018-02-03,16-42-41,ROJO,directo,x1,-,2914UFC,100
2018-02-03,06-12-42,ROJO,directo,x1,-pocaluz-blur-lento,xxxxx,0
2018-02-03,20-35-28,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-03,19-51-47,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-03,06-15-38,ROJO,directo,x1,-pocaluz-blur-lento,xxxxx,0
2018-02-03,13-44-49,ROJO,directo,x1,-SINPLACA,xxxxx,0
2018-02-03,14-00-03,ROJO,directo,x1,-sucio,2xxxxF,24
2018-02-03,18-04-00,ROJO,directo,x2,-dos,2004BYK-86-2503ILA,100
2018-02-03,06-51-19,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-03,19-29-40,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-03,18-30-26,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-03,07-25-54,ROJO,directo,x1,-SINPLACA,xxxx,0
2018-02-03,07-26-39,ROJO,directo,x1,-pocaluzBlur,xxxxx,0
2018-02-03,13-48-14,ROJO,directo,x1,-lento,xxxxx,0
2018-02-03,15-08-34,ROJO,directo,x2,-dosminis,3476TXY-100-4532LYL,100
2018-02-03,06-02-37,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-03,06-10-45,ROJO,directo,x1,-pocaluz-blur-rapido,xxxxx,0
2018-02-03,08-21-33,ROJO,directo,x1,-SINPLACA,xxxx,0
2018-02-03,13-56-27,ROJO,directo,x1,-lento,xxxxx,0
2018-02-03,14-07-10,ROJO,directo,x1,-SINPINTAR,1754xxx,64
2018-02-03,18-56-51,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-03,07-26-01,ROJO,directo,x2,-SINPLACA,xxxx,0
2018-02-03,14-26-30,ROJO,directo,x1,-,4465GAU,100
2018-02-03,06-10-35,ROJO,directo,x1,-pocaluz-blur-rapido,xxxxx,0
2018-02-03,06-34-13,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-03,18-57-53,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-13,06-57-52,ROJO,directo,x1,-Infraccion,1420AXC,100
2018-02-13,07-47-27,ROJO,directo,x1,-Infraccion,3773UCU,100
2018-02-13,07-14-58,ROJO,directo,x1,-Infraccion-Despintado,1609YCN,100
2018-02-13,07-53-21,ROJO,directo,x1,-Infraccion-Alejado,2372PCN,100
2018-02-13,08-01-54,ROJO,directo,x1,-Infraccion,2118KKN,100
2018-02-13,07-40-22,ROJO,directo,x1,-Infraccion,2618KZA,100
2018-02-13,06-51-40,ROJO,directo,x1,-Infraccion,2374TNX,100
2018-02-13,06-39-23,ROJO,directo,x1,-Infraccion-Pintado,2104XBY,100
2018-02-21,12-20-07,ROJO,directo,x1,-Infraccion,1268TBC,100
2018-02-21,16-40-23,ROJO,directo,x1,-Infraccion-Duplicado,2199KDT,100
2018-02-21,16-40-22,ROJO,directo,x1,-Infraccion,2199KDT,100
2018-02-21,07-18-13,ROJO,directo,x1,-Infraccion,4152BHP,100
2018-02-21,06-54-06,ROJO,directo,x1,-Infraccion,1243RGT,100
2018-02-21,11-04-53,ROJO,izquierdo,x1,-Infraccion,3855PFB,100
2018-02-21,14-44-28,ROJO,directo,x1,-Infraccion,2151DCK,100
2018-02-21,08-24-17,ROJO,directo,x1,-Infraccion,991SEI,100
2018-02-21,16-49-30,ROJO,directo,x1,-Infraccion-Sticker,11941KRF,100
2018-02-21,16-35-18,ROJO,izquierdo,x1,-Infraccion,4687ZIT,100
2018-02-21,17-23-04,ROJO,directo,x1,-Infraccion,2288GRL,100
2018-02-21,13-32-18,ROJO,directo,x1,-Infraccion,2291FEY,100
2018-02-21,06-48-12,ROJO,directo,x1,-Infraccion,4124FLP,100
2018-02-21,12-19-08,ROJO,izquierdo,x1,-Infraccion-Sticker,1388GIU,100
2018-02-21,11-47-35,ROJO,izquierdo,x1,-Infraccion,1880ZRF,100
2018-02-21,17-12-53,ROJO,directo,x1,-Infraccion,2977TEU,100
2018-02-21,11-03-54,ROJO,directo,x1,-Infraccion,1842APU,100
2018-02-21,07-54-49,ROJO,directo,x2,-Infraccion,1258UTX,100
2018-02-21,08-57-53,ROJO,directo,x1,-Infraccion,837XDP,100
2018-02-21,10-44-36,ROJO,directo,x1,-Infraccion,3821PGC,100
2018-02-21,08-08-01,ROJO,directo,x3,-Infraccion,2149EPN,100
2018-02-21,17-15-59,ROJO,directo,x1,-Infraccion,4129FFR,100
2018-02-21,08-57-51,ROJO,izquierdo,x1,-Infraccion,2199CNR,100
2018-02-21,08-23-16,ROJO,directo,x1,-Infraccion,4450RHA,100
2018-02-06,14-57-15,ROJO,directo,x1,-Ruidocaptura,2743HKA,100
2018-02-06,06-02-38,ROJO,directo,x1,-RuidoAdelantado,x,0
2018-02-06,14-28-49,ROJO,directo,x1,-Ruidocaptura,4156GRG,100
2018-02-06,06-06-50,ROJO,directo,x1,-Sincaptura,x,0
2018-02-06,08-12-40,ROJO,directo,x1,-Ruidocaptura,2441CKL,100
2018-02-06,06-12-50,ROJO,directo,x1,-Sincaptura,x,0
2018-02-06,07-47-16,ROJO,directo,x1,-Visible,2259PIA,100
2018-02-06,15-12-32,ROJO,directo,x1,-Infraccion,567NNL,100
2018-02-06,16-25-00,ROJO,izquierda,x1,-Infraccion,2373GSL,100
2018-02-06,10-31-56,ROJO,directo,x1,-Infraccion,2073EXI,100
2018-02-06,15-02-21,ROJO,directo,x1,-Infraccion,1900NFU,100
2018-02-06,07-53-21,ROJO,directo,x1,-Ruidocaptura,2488XRI,100
2018-02-06,06-10-50,ROJO,directo,x1,-Sincaptura,x,0
2018-02-06,12-51-14,ROJO,directo,x1,-Infraccion,4104SLD,100
2018-02-06,14-58-20,ROJO,directo,x1,-Pintura,661HRx,86
2018-02-06,15-26-46,ROJO,directo,x1,-Infraccion,2928XSL,100
2018-02-06,16-01-18,ROJO,directo,x1,-Infraccion,4521XXX,100
2018-02-06,08-07-35,ROJO,directo,x1,-Ruidocaptura,1311FYK,100
2018-02-06,18-33-12,ROJO,directo,x2,-Infraccion,3080LDY,100
2018-02-06,19-40-55,ROJO,directo,x1,-Infraccion,1897TBC,100
2018-02-06,16-32-48,ROJO,directo,x1,-Infraccion,3823UNB,100
2018-02-06,11-29-55,ROJO,directo,x1,-Infraccion,4156GRG,100
2018-02-06,16-02-20,ROJO,directo,x1,-Infraccion,4474RCP,100
2018-02-06,16-46-02,ROJO,directo,x1,-Infraccion,442xxxx,44
2018-02-16,09-20-37,ROJO,izquierdo,x1,-Infraccion,4556PDR,100
2018-02-16,07-38-58,ROJO,directo,x1,-Infraccion,4129FFR,100
2018-02-16,08-08-27,ROJO,izquierdo,x1,-Infraccion,3626LKF,100
2018-02-16,09-47-05,ROJO,izquierdo,x1,-Infraccion,1719TFI,100
2018-02-16,11-08-23,ROJO,izquierdo,x1,-Infraccion,3807LLC,100
2018-02-16,08-10-30,ROJO,izquierdo,x1,-Infraccion,1942KST,100
2018-02-16,09-51-09,ROJO,izquierdo,x1,-Infraccion,2836EIK,100
2018-02-16,08-30-51,ROJO,directo,x1,-Infraccion,957IHx,84
2018-02-16,10-51-05,ROJO,izquierdo,x1,-Infraccion,1622GPX,100
2018-02-16,10-58-13,ROJO,izquierdo,x1,-Infraccion-TapadoMarcadeAgua,x,0
2018-02-16,07-42-02,ROJO,izquierdo,x1,-Infraccion-PlacaDespintada,1249XNZ,100
2018-02-16,11-25-40,ROJO,izquierdo,x1,-Infraccion-TapadoMarcadeAgua,4507TCK,100
2018-02-16,06-24-13,ROJO,directo,x1,-Infraccion,4521XXX,100
2018-02-16,10-04-20,ROJO,izquierdo,x1,-Infraccion,4208NHD,100
2018-02-01,17-59-19,ROJO,dkrecto,x1,-sinplaca,xxxx,0
2018-02-01,06-51-26,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-01,08-40-14,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-01,08-33-05,ROJO,directo,x1,-blur,2323YK,10
2018-02-01,10-02-32,ROJO,directo,x1,-lento,,0
2018-02-01,19-12-29,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-01,19-52-16,ROJO,directo,x1,-pocaluz-blur-night,xxxxx,0
2018-02-01,12-50-18,ROJO,directo,x1,-,4683FXA,100
2018-02-01,07-02-54,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-01,08-41-14,ROJO,directo,x1,-pocaluz-blur,2160BHF,30
2018-02-01,06-03-56,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-01,06-35-38,ROJO,directo,x1,-pocaluz-lento-blur,xxxxx,0
2018-02-01,06-03-44,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-01,19-51-05,ROJO,directo,x1,-pocaluz-blur-night,xxxxx,0
2018-02-01,06-45-32,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-01,06-31-26,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-01,06-56-49,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-01,07-46-23,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-01,07-18-00,ROJO,directo,x1,-ruido,ind,0
2018-02-01,09-43-15,ROJO,directo,x1,-,4529FZL,100
2018-02-01,06-25-12,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-01,19-24-42,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-01,19-08-26,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-01,12-59-54,ROJO,directo,x1,-muyabajo,198ZZI,100
2018-02-01,06-14-04,ROJO,directo,x1,-pocaluz-lento-blur,xxxxx,0
2018-02-01,10-17-49,ROJO,directo,x1,-sinpintar,xxxxx,0
2018-02-01,07-05-52,ROJO,directo,x2,-lento,,0
2018-02-01,06-56-48,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-01,12-18-47,ROJO,left,x1,-leftturns,4511GSH,100
2018-02-01,07-05-54,ROJO,directo,x1,-blur,xxx,0
2018-02-01,19-39-56,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-01,06-21-58,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-01,20-30-45,ROJO,directo,x1,-pocaluz-blur-night,xxxxx,0
2018-02-01,17-38-26,ROJO,directo,x1,-moto,3197NFL,100
2018-02-01,11-17-47,ROJO,directo,x1,-rapido,4411HZB,100
2018-02-01,19-00-16,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-01,10-49-20,ROJO,directo,x1,-rapido,226XSN,100
2018-02-01,06-55-52,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-01,08-58-31,ROJO,directo,x1,-sinpintar,xxxxx,0
2018-02-01,19-24-40,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-01,19-29-44,ROJO,directo,x1,-pocaluz-blur,xxxxx,0
2018-02-01,06-55-50,ROJO,directo,x1,-pocaluz-blur-lento,xxxxx,0
2018-02-05,18-15-50,ROJO,directo,x2,-sinpintar,2129EPP,100
